,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Date,Close,High,Low,Open,Volume
71,71,71,71,71,71,2025-01-08,980.7462768554688,984.9135310854292,970.7508520968988,974.9181063268592,778500
72,72,72,72,72,72,2025-01-10,950.4517211914062,976.7183111699276,943.0122898019764,974.4705712901384,908200
73,73,73,73,73,73,2025-01-13,949.8251342773438,952.0529633088609,938.2185092458702,941.1126837618276,794100
74,74,74,74,74,74,2025-01-14,957.9407958984376,964.3358792282236,952.8386425427482,959.0845766661698,1058100
75,75,75,75,75,75,2025-01-15,1007.6792602539062,1019.8826029867572,985.619686660332,1014.2335086942396,1140100
76,76,76,76,76,76,2025-01-16,990.3140869140624,1011.0210599079538,976.8476190601368,1011.0210599079538,883800
77,77,77,77,77,77,2025-01-17,999.5039672851562,1007.3113243637345,991.5971166969154,995.466011965285,1085800
78,78,78,78,78,78,2025-01-21,1006.59521484375,1021.3744620578626,998.2706011756362,1008.5147292550924,671600
79,79,79,79,79,79,2025-01-22,1000.87646484375,1008.3158354430255,992.8303598856736,1006.983083782448,570300
80,80,80,80,80,80,2025-01-23,1012.20458984375,1012.2841725102334,995.3963786004874,998.5093902729518,645300
81,81,81,81,81,81,2025-01-24,1014.9098510742188,1020.42970723282,1007.6395404810528,1007.6395404810528,731300
82,82,82,82,82,82,2025-01-27,1024.3482666015625,1025.3130926180745,999.2354127635824,1004.5165816707494,662500
83,83,83,83,83,83,2025-01-28,1045.4927978515625,1049.9882773850254,1021.474009664727,1024.089735778707,1083000
84,84,84,84,84,84,2025-01-29,1046.895263671875,1061.0380327751743,1039.634968924288,1041.4251237051976,808600
85,85,85,85,85,85,2025-01-30,1065.70263671875,1072.3960794915226,1053.5787542415708,1063.3951642283755,532100
86,86,86,86,86,86,2025-01-31,1069.6610107421875,1078.333639915546,1062.9576125399617,1068.258631768849,958100
87,87,87,87,87,87,2025-02-03,1008.2462158203124,1050.8039420443015,1001.1648761077962,1048.755067783866,1502200
88,88,88,88,88,88,2025-02-04,1010.1458129882812,1013.9649918004626,998.5491434699994,1006.0481859012611,931100
89,89,89,89,89,89,2025-02-05,1008.9921264648438,1021.9713246093088,1000.4487361609606,1014.4622661351806,710200
90,90,90,90,90,90,2025-02-06,1001.1549072265624,1018.2416271972626,999.5437073009476,1014.8103456135316,688500
91,91,91,91,91,91,2025-02-07,986.654052734375,1010.394454273388,985.7689308050798,1003.2833090565108,731700
92,92,92,92,92,92,2025-02-10,980.1992797851562,990.9307380053536,971.486829509138,989.5979863693208,683700
93,93,93,93,93,93,2025-02-11,982.8348999023438,984.0880688525326,968.3141294572844,974.6794070090618,884900
94,94,94,94,94,94,2025-02-12,968.423583984375,975.564595253803,960.6360773944324,969.7463194805272,562900
95,95,95,95,95,95,2025-02-13,974.977783203125,976.668565773429,965.0022692347688,973.7246142309727,480500
96,96,96,96,96,96,2025-02-14,968.6324462890624,973.3368077903914,963.1225455136632,969.7065998274708,965200
97,97,97,97,97,97,2025-02-18,972.551025390625,972.560980811614,953.8630611919566,963.8783968182928,1048500
98,98,98,98,98,98,2025-02-19,980.9850463867188,984.326789899318,961.6306756446196,965.7283027215948,760300
99,99,99,99,99,99,2025-02-20,984.0084838867188,985.9379537079031,968.7318906427472,981.144115065501,769700
100,100,100,100,100,100,2025-02-21,968.9307861328124,987.8177376002612,965.7382525488594,987.1016150209736,1254000
101,101,101,101,101,101,2025-02-24,947.6270751953124,976.9470645581306,942.9625355719404,970.0546352831744,1141500
102,102,102,102,102,102,2025-02-25,952.808837890625,960.8747929843748,940.7247776779996,952.7491660672648,1004000
103,103,103,103,103,103,2025-02-26,948.5918579101562,961.8593990393769,947.1099570580112,951.30701690224,614300
104,104,104,104,104,104,2025-02-27,939.7600708007812,964.7237750076828,938.3776027418764,953.8928838157118,675200
105,105,105,105,105,105,2025-02-28,972.4714965820312,975.1567892635558,936.8956785206444,938.059309396224,1412300
106,106,106,106,106,106,2025-03-03,961.2228393554688,985.4108091858444,953.6343197825004,974.5203071782385,767000
107,107,107,107,107,107,2025-03-04,946.62255859375,959.3431584964208,928.2727751463052,947.1894712573898,1040000
108,108,108,108,108,108,2025-03-05,962.8838500976562,964.395556531192,942.7039684322688,958.7663121549696,837800
109,109,109,109,109,109,2025-03-06,954.4299926757812,963.749116758311,943.5791906216106,952.4308955387298,698000
110,110,110,110,110,110,2025-03-07,946.9199829101562,953.030029296875,918.989990234375,953.030029296875,1180800
111,111,111,111,111,111,2025-03-10,915.260009765625,931.780029296875,901.530029296875,918.0999755859376,1069500
112,112,112,112,112,112,2025-03-11,910.3699951171876,922.969970703125,904.9500122070312,912.1300048828124,963100
113,113,113,113,113,113,2025-03-12,910.0599975585938,923.530029296875,903.5399780273438,920.0,630200
114,114,114,114,114,114,2025-03-13,900.4600219726562,913.5,898.260009765625,913.02001953125,656600
115,115,115,115,115,115,2025-03-14,928.7000122070312,929.0999755859376,907.9199829101562,915.02001953125,623600
116,116,116,116,116,116,2025-03-17,958.0,960.9400024414062,933.3699951171876,937.1300048828124,922300
117,117,117,117,117,117,2025-03-18,958.6199951171876,964.5700073242188,956.010009765625,957.6300048828124,1086200
118,118,118,118,118,118,2025-03-19,957.22998046875,966.0,951.0,959.6799926757812,1086700
119,119,119,119,119,119,2025-03-20,954.1699829101562,961.6300048828124,949.52001953125,952.6900024414062,667900
120,120,120,120,120,120,2025-03-21,951.72998046875,956.3400268554688,938.1699829101562,948.0,5211600
121,121,121,121,121,121,2025-03-24,963.5,972.989990234375,957.0,960.6500244140624,427888
