,date,stock_ticker,price,insider_name,relationship,transaction_type,shares,value,shares_total,xml_link
134,2023-04-03,AAPL,164.67,COOK TIMOTHY D,"Director, Officer (Chief Executive Officer)",Sale,26623,4384009.41,3309501,https://www.sec.gov/Archives/edgar/data/320193/000032019323000048/wf-form4_168064750462974.xml
135,2023-04-03,AAPL,165.62,COOK TIMOTHY D,"Director, Officer (Chief Executive Officer)",Sale,29449,4877343.38,3280052,https://www.sec.gov/Archives/edgar/data/320193/000032019323000048/wf-form4_168064750462974.xml
139,2023-04-03,AAPL,164.71,Adams Katherine L.,"Officer (SVP, GC and Secretary)",Sale,33407,5502466.97,464031,https://www.sec.gov/Archives/edgar/data/320193/000032019323000047/wf-form4_168064745080973.xml
140,2023-04-03,AAPL,165.81,Adams Katherine L.,"Officer (SVP, GC and Secretary)",Sale,38818,6436412.58,425213,https://www.sec.gov/Archives/edgar/data/320193/000032019323000047/wf-form4_168064745080973.xml
141,2023-03-22,AAPL,159.76,WILLIAMS JEFFREY E,Officer (COO),Sale,187730,29991744.8,489816,https://www.sec.gov/Archives/edgar/data/320193/000032019323000040/wf-form4_167969705479427.xml
151,2022-11-22,AAPL,148.72,KONDO CHRIS,Officer (Principal Accounting Officer),Sale,20200,3004144.0,31505,https://www.sec.gov/Archives/edgar/data/320193/000032019322000113/wf-form4_166924620985339.xml
152,2022-10-28,AAPL,154.7,Maestri Luca,"Officer (Senior Vice President, CFO)",Sale,14274,2208187.8,272698,https://www.sec.gov/Archives/edgar/data/320193/000032019322000111/wf-form4_166734181374173.xml
153,2022-10-28,AAPL,155.63,Maestri Luca,"Officer (Senior Vice President, CFO)",Sale,85147,13251427.61,187551,https://www.sec.gov/Archives/edgar/data/320193/000032019322000111/wf-form4_166734181374173.xml
154,2022-10-28,AAPL,156.46,Maestri Luca,"Officer (Senior Vice President, CFO)",Sale,69678,10901819.88,117873,https://www.sec.gov/Archives/edgar/data/320193/000032019322000111/wf-form4_166734181374173.xml
155,2022-10-28,AAPL,157.2,Maestri Luca,"Officer (Senior Vice President, CFO)",Sale,7200,1131840.0,110673,https://www.sec.gov/Archives/edgar/data/320193/000032019322000111/wf-form4_166734181374173.xml
158,2022-10-17,AAPL,142.45,O'BRIEN DEIRDRE,Officer (Senior Vice President),Sale,8053,1147149.85,136290,https://www.sec.gov/Archives/edgar/data/320193/000032019322000102/wf-form4_166613234346671.xml
163,2022-10-03,AAPL,141.09,O'BRIEN DEIRDRE,Officer (Senior Vice President),Sale,42393,5981228.37,270196,https://www.sec.gov/Archives/edgar/data/320193/000032019322000097/wf-form4_166493494107053.xml
164,2022-10-03,AAPL,142.17,O'BRIEN DEIRDRE,Officer (Senior Vice President),Sale,66880,9508329.6,203316,https://www.sec.gov/Archives/edgar/data/320193/000032019322000097/wf-form4_166493494107053.xml
165,2022-10-03,AAPL,142.83,O'BRIEN DEIRDRE,Officer (Senior Vice President),Sale,67026,9573323.58,136290,https://www.sec.gov/Archives/edgar/data/320193/000032019322000097/wf-form4_166493494107053.xml
